Date,Type,Link
9/11/22 22:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974790928037236736
9/10/22 4:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970401504226598914
9/7/22 5:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6973103449009766400
9/6/22 16:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6972909348024918017
9/6/22 16:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6972920456412602369
9/1/22 19:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970507314193727488
9/1/22 0:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6970810308852391937
8/30/22 20:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6970125416523034624
8/30/22 3:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6970067849885212672
8/24/22 12:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6967631310890704896
8/19/22 23:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6966420809909202945
8/19/22 21:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6966434433960714240
8/14/22 13:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6964539326575611904
8/13/22 5:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963973970974883840
8/11/22 22:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6963316606433173504
8/1/22 14:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6959848773976035329
7/29/22 20:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6958771588561342464
7/28/22 6:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6958270476397813760
7/24/22 20:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6956965546139529216
7/19/22 19:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955198331631329280
7/4/22 3:43,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6949032224327421952
6/28/22 17:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6947584264322387968
6/26/22 19:54,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6946625312558370816
6/23/22 11:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6945524008759029760
